술의 종류,술 이름,이미지,도수,제조 지역,제조 재료,술 소개,같이 먹는 음식
탁주(고도),가평 잣 생막걸리,,6%,가평,"쌀, 정제수, 쌀입국, 잣, 효모, 정제효소 등","가평의 잣을 막걸리에 그대로 담아 특유의 고소한 맛으로 목 넘김이 부드럽고, 은은한 향까지 느낄 수 있어 누구나 부담 없이 마시고 느낄 수 있는 막걸리다. 일반 막걸리는 완전 발효가 되지 않는 미숙주가 많아 상품 상태에서도 발효가 활발하기 때문에 병을 흔들면 가스로 병이 터지거나, 넘치는 현상이 일어난다. 하지만 가평 생 막걸리는 저온 장기숙성방식으로 완전 발효를 실현하여 완숙주로 출시되어 흔들어도 터지거나 넘치지 않는다. 단맛, 신맛, 바디감, 목넘김 등 맛이 튀지 않고 적당하다. 쌀 막걸리의 가벼운 바디감과 부드러운 목넘김이 좋은 막걸리다.",반찬으로 나오는 우리음식과 모두 잘 어울린다.
증류주,남한산성소주,,40%,광주,"쌀, 엿, 누룩","남한산성 소주의 유래는 남한산성을 축성한 조선14대왕 선조때부터 전해진다. 곡물로 빚은 순곡소주로 엿을 이용하여 발효조를 만들고 이를 증류하기 때문에 증류주이면서도 강하고 자극적인 맛이 아닌, 부드럽게 넘어가고 잔기운이 오래남는 한국의 대표적인 증류주이다.",송이한우구이  한우구이는 육즙이 풍부하고 담백해서 남한산성소주의 부드럽고 긴 여운을 즐길 수 있는 음식이다.
증류주,문배술,,40%,김포,"국내산 찰수수, 국내산 메조","고려시대 신하들이 왕에게 좋은 술을 진상하여 벼슬을 얻게 되었는데 그 중 으뜸 가문의 술이 ‘문배술’이었다. 이후 고려중엽 후손들에 의해 널리 파급되었고, 현재 문배주양조원에서 5대에 걸쳐 술을 빚어 오고 있다. 문배술은 평안도지방에 전승되어 오던 술로 누룩과 곡물로만 빚는 술임에도 문배나무향기가 난다. 인공적인첨가제가 전혀 없이 맛과 향을 낼 수 있는 특징을 지니고 있기에 역사적, 문화적 가치는 물론이고, 식품산업적인의미도 내포하고 있다. 고도주임에도 목 넘김이 부드럽고 입속 가득한 향기로 감칠맛을 더할 수 있는 순곡의 증류주이다.","평양식 녹두지짐, 참숭어회- 문배술은 평양식 녹두지짐과 찰떡궁합을 이룬다는 역사를 갖고 있다. 녹두지짐은 돼지비계를 올려 크고 푸짐하게 구웠던 평안도 지방의 녹두지짐이 제일유명하고 평안도에서는 생일이나 잔칫상에 빠지지 않던 음식이다. 또한 육질이 찰지고 감칠맛이 뛰어난 참숭어회는 11월~3월이 제철로 진한문배향의 술 한잔과 잘 어울리는 한 쌍이다."
증류주,감홍로,,40%,여주,"정제수,쌀(국내산),조,용안육,계피,진피,정향,생강,감초,자초",은은하고도 강렬한 계피 향미가 도드라지는 전통 증류주입니다.,"전과 같은 한식, 해산물과도 잘 어울리는 술입니다."
증류주,려 고구마 소주,,25%,여주,"쌀증류소주원액(여주산 쌀 100%),정제수,고구마증류소주원액(여주산 고구마100%)",여주산 고구마100%를 상압 증류 후 옹기 숙성 해 깊고 풍부한 풍미가 뛰어난 부드러운 맛입니다.,"탕류(조개탕,홍합탕,복어탕,어묵탕 등 )육류 (수육 , 보쌈,쇠소기,구이,삼겹살 등)
샌선,해산물류(회,생선찜,생선구이 등) 간단한 안주류 (견과류,초콜릿 등)"
리큐르/기타주류,산내울 오미자주,,16%,경상남도 거창,"오미자, 설탕, 주정, 정제수, 과당","거창 산내울 오미자주는 해발 600ｍ 이상 고지대에서 자란 청정 오미자를 원료로 사용한다. 고지대로 병충해가 거의 없어 농약을 치지 않고 재배한다. 주원료인 오미자는 단맛, 신맛, 매운맛, 쓴맛, 짠맛 등 5가지 맛을 지닌 약재로 항산화 기능이 뛰어난 ‘안토시아닌’ 물질이 많아 피부미용, 노화방지, 골다공증 예방에 효과가 있다. 산내울 오미자주는 오미자의 다섯 가지 맛과 향을 살려 풍부한 과일향이 스르르 혀끝에 스며들고, 쌉쌀하면서도 깔끔하고 개운한 뒷맛이 특징이다.","색이 아름다운 산내울 오미자주는 생선 회, 편육 냉채 등과 잘 어울린다."
"약주, 청주",호산춘,,18%,경상북도 묵경,"멥쌀(국내산), 찹쌀(국내산), 정재수, 누룩, 솔잎, 밀(곡류)함유","호산춘은 멥쌀과 찹쌀을 1대2 의 비율로 사용하며 쌀을 완전히 삭혀서 만들기 때문에 쌀 한되로 술 한되가 나오지 않는다. 담황색의 고운 빛갈을 가지며 풀향과 과실향이 어우러져 있고 야생의 풀향과 과실향이 어우러져 특유의 향을 만들어내며, 무감미료로 만든 높은 알코올 도수의 발효주인 만큼 진한 맛과 향을 그대로 품고 있다. 특히 지푸라기 등에서 느끼는 곡물향과 오래 숙성한 장맛, 그리고 찰싹 달라붙는 질감도 품고 있다. 전체적으로 맛과 향이 굉장히 진한 전통주라고 볼 수 있다.","갈비찜, 고추잡채 등과 문경만의 약돌한우, 송이버섯 구이 등을 추천한다."
증류주,민속주 안동소주,,45%,경상북도 안동,"국내산 쌀, 누룩, 정제수","안동소주는 주로 명문가의 가양주로 계승되어 왔으며 일제 강점기와 해방 후 식량문제 등으로 자칫 단절될 위기에 처한 적이 있었다. 서울 올림픽을 계기로 정부의 적극적인 민속주 발굴에 힘입어, 1987년 경북 무형문화재 제12호 안동소주 기능보유자로 고 조옥화여사가 지정되어 1990년 9월에 생산을 시작했으며, 고 조옥화 여사는 2000년 국가지정 식품명인 제20호로도 지정되기도 했다. 현재는 안동소주 기능보유자인 며느리 배경화와 아들 김연박에게 제법이 전",
"약주, 청주",경주교동법주,,16%,경주시,찹쌀(국내산),"350년 이상의 전통을 가진 찹쌀로 빚은 약조로 기능보유자가 직접 손수 빚는 중요무형문화재 술 이다. 모두 수작업으로 이루어지므로 생산되는 양이 적다. 경주교동법주는 찹쌀로 빚은 청주라 부르기도 하는데 청주는 예로부터 겨울 술이라 하여 교동법주 역시 여름에는 술을 빚지 않는다. 찹쌀 특유의 쌉싸름한 맛과 단맛, 신맛을 느낄 수 있으며 누룩 향과 본연의 독특한 향이 잘 어우러져 있다. 술에 어떠한 처리도 하지 않기 때문에 살아있는 술로 반드시 냉장보관 해","북어포뿌리, 사연지, 쇠고기 육포 교동 최씨 고택에 전해지는 쇠고기육포, 북어포푸리, 사연지 등 우리전통안주와 함께 마시면 한결 운치가 있다. 사연지는 싸서 넣은 김치라는 뜻으로 큰 새우속살 등을 배춧잎으로 싼 것으로 담백하고 시원하며 북어포푸리는 북어포를 참기름에 버무린 것으로 교동법주와 궁합이 맞는 안주로 꼽힌다."
탁주(고도),금정산성막걸리,,8%,부산 금정구,"백미, 밀(누룩), 정제수",금정산성막걸리는 술빚기에 적합한 온도와 습도가 유지되는 해발 400m의 청정 환경을 갖춘 금정산성마을에서 제조된다. 깨끗한 자연환경속에서 발효된 자연산 누룩과 250m의 암반수를 사용하여 금정산성 전통 막걸리의 맛을 그대로 느낄 수 있는 알코도수 8도의 100% 국내산 살아있는 쌀막걸리로 누룩 질이 전국 으뜸이며 산수로 술을 빚기 때문에 은은한 향과 구수한 맛이 일품이다.,"파전, 두부김치와 잘 어울린다."
