,술 명,술 종류,제조 지역
1,가평 잣막걸리,탁주,가평
2,우리술 복분자막걸리,탁주,가평
3,남한산성소주,증류식 소주,광주
4,문배주,증류식 소주,김포
5,계명주,탁주,남양주
6,옥로주,증류식 소주,군포시
7,감홍로,증류식 소주,여주
8,려 고구마소주,증류식 소주,여주
9,이동 막걸리,탁주,포천
10,배혜정 막걸리,탁주,화성
11,산내울 오미자주,리큐르,경상남도 거창
12,호산춘,약주,경상북도 묵경
13,과하주,약주,경상북도 김천
14,청곡주,약주,경상남도 진주
15,안동 소주,증류식 소주,경상북도 안동
16,교동 법주,약주,경주시
17,송화주,약주,경상북도 안동
18,금정산성막걸리,탁주,부산 금정구
19,국화주,약주,경상남도 함양군
20,솔송주,약주,경상남도 함양군 개평마을
21,진도 홍주,증류식 소주,전라남도 진도
22,전주 이강주(이강고),약주,전북특별자치도 전주시
23,복분자주,리큐르,전북특별자치도 고창군
24,추성주,약주,전라남도 담양군
25,해남 진양주,약주,전라남도 해남
26,보성 강하주,약주,전라남도 보성
27,순창 발효소주,증류식 소주,전북특별자치도 순창군
28,죽력고,증류식 소주,전북특별자치도 정읍
29,나주 배술,리큐르,전라남도 나주
30,송화백일주,약주,전라북도 완주
31,한산소곡주,약주,충청남도 서천군 한산면
32,면천 두견주,약주,충청남도 당진시 면천면
33,계룡 백일주,증류주,충청남도 공주시
34,금산인삼 백주,증류주,충청남도 금산군
35,충주 청명주,약주,충청북도 충주시
36,청주 신선주,증류주,충청북도 청주시
37,추사 애플와인,와인,충청남도 예산
38,송순주,약주,대전광역시
39,국화주,약주,대전광역시
40,불소곡주,증류주,충청남도 서천군 한산면
41,옥선주,증류주,홍천군
42,감자술,약주,평창군
43,옥수수술,약주,춘천
44,앉은뱅이술,약주,정선
45,화전일취,약주,춘천시 서면 지시울
46,무작53,증류주,홍천군 예술
47,동몽,청주,홍천군 예술
48,솔잎동동주,탁주,홍청군
49,아우라지 옥수수막걸리,탁주,정선군 여량양조장
50,달홀주,약주,고성군
51,고소리술,증류주,제주도
52,니모메,약주,제주도
53,마셔블랑,와인,제주도
54,만다린탁주,탁주,제주도
55,세우리,증류주,제주도
56,신례명주,증류주,제주도
57,오메기맑은술,청주,제주도
58,오메기술,탁주,제주도
59,제주 밀주,탁주,제주도
60,혼디주,과실주,제주도
61,송절주,약주,서울
62,삼해주,약주,서울
63,향온주,약주,서울
