술 종류,술 이름,술 도수,술 재료,술 소개,술과 같이 먹는 음식,술 생산 지역
술 종류,술 이름,술 도수,술 재료,술 소개,술과 같이 먹는 음식,술 생산 지역
과실주,오미시앙 스페셜,12%,"오미자, 주정, 설탕, 효모","소통하는 와이너리 알에프에서는 산뜻한 느낌의 와인인 오미시앙 스페셜을 만날 수 있다. 향긋한 향이 한껏 스쳐 지나간 뒤 올라오는 적당한 산미가 어느 유명 와인을 마시는 듯한 느낌을 받는다. 장수의 국내산 오미자를 착즙, 발효, 숙성한 오미자와인과 정밀 여과로 깨끗하게 정제한 주정을 브랜딩하여 부드럽고 오미자의 5가지 맛과 특유의 향을 즐길 수 있다. 적당한 산미가 새콤하게 지나간 뒤 은근히 올라오는 12% 도수를 가진 오미시앙 스페셜은 기념일 등 특별한 날 함께 즐기기 좋은 와인이다.",오미자의 오미 중에서 단맛은 적지만 산뜻한 산미와 텁텁함이 혀를 자극시키며 목넘김이 매우 깔끔해 생선 회와 잘 어울린다.,전북 장수군 계남면 침곡로 11-26
과실주,오미로제 프리미어와인,12%,오미자(문경산),"오미로제 프리미어와인은 문경 백두대간의 깊은 계곡에서 재배한 유기농, 친환경 오미자를 원료로 유럽의 정통와인 양조 기법 그대로 발효 숙성한 세계 최초의 오미자 와인이다. 오미자를 수확하여 발효하고 병에 담기기까지 3년 이상이 걸리는 제품으로 적당한 산도와 단맛의 조화로 전체적인 밸런스가 뛰어나다. 끝없이 올라오는 수천 만개의 탄산과 오미자의 5가지 맛이 잘 어우러진다.","진한 한국음식과도 최고의 궁합을 선사한다. 오미로제가 나오는 문경에서는 오미자 삼겹살, 더덕구이, 산나물, 그리고 송이버섯요리가 유명하다다. 전체적으로 모두 잘 어울리나, 자극성이 적은 나물과의 환상적인 궁합을 자랑한다. 육류로는 양념을 한 고기류보다는 자극성 적은 한우구이와 즐긴다면, 이 술의 매력을 더 크게 느낄 수 있다.",경북 문경시 문경읍 새재로 609
과실주,오디랑,13%,"오디(국산) 18.2%, 정제수, 과당, 주정, 구연산, 효모","원재료 생산지부터 차별화된 프리미엄급 술 오디랑은 단맛과 신맛이 조화로운 새콤달콤한 맛이 일품으로, 생산과정의 깐깐함은 국순당 고창명주의 자존심이 그대로 담겨 있다. 어느 서양의 고급 과실주와 견주어도 뒤쳐지지 않을 만큼 매혹적인 색감과 짙은 향은 우리 술의 매력을 느끼기에 충분하다.",알코올의 맛이 입과 식도를 뜨겁게 하지만 먹고 난 후 입 안은 깔끔합니다. 양념된 고기류와 잘 어울린다.,전북 고창군 심원면 선운대로 2197
과실주,오가피와인,12%,"오가피 열매(국내산), 백설탕, 효모, 메타중아황산칼륨","금이산농원에서 생산하는 오가피와인은 가을 색이 깊은 11월에 채취한 오가피 열매에 효모를 넣어 발효, 숙성시켜 만든 몸에 좋은 발효주로 해발 700m의 자연환경에서 재배한 검게 잘 익은 열매만 엄선하여 만든다. 보라빛열매가 예쁜 색을 만들어 주며 오가피 열매의 향이 오크 숙성한 듯 향기를 더한다.",복날 삼계탕 등 보신 음식과 함께하기 좋은 술이다.,세종시 전의면 가느실길 127
과실주,예주,15%,"복분자, 주정, 효모, 정제수",예주는 제조사 용두산조은술의 직영농장에서 농약과 화학비료 없이 자연 그대로 길러낸 복분자를 이용하여 제조한다. 독일 늦따기 와인 제조기법으로 만들어낸 과실주로 단맛과 복분자의 깊은맛이 일품인 프리미엄 복분자와인이다.,소고기 소금구이 등 담백한 음식과 곁들이면 좋습니다.,충북 제천시 송학면 송학주천로647
과실주,예밀와인 레드 스위트,12%,포도(캠벨얼리),"&quot;예밀와인 레드 스위트&quot;는 강원도 영월에 위치한 예밀2리영농조합법인에서 생산하는 한국와인이다. 한국인이 식용으로 애용하는 캠벨얼리 포도품종으로 만든 와인으로 두꺼운 껍질과 단단한 씨, 풍부한 과즙으로 한국와인의 맛과 풍미를 담아낸다. 진한 풍미를 띄고 특유의 산미가 조화를 이루고 있으며, 깔끔한 맛이 특징이다. 다른 지역의 캠벨얼리 품종보다 탄닌 성분이 많아 적당한 무게감도 느낄 수 있다.",누구나 쉽게 즐길 수 있는 술입니다. 타닌이 강하지 않아 입 안의 느낌이 무겁지 않고 깔끔하게 마무리 됩니다. 달콤한 디저트 음식과 잘 어울립니다.,강원도 영월군 김삿갓면 예밀촌길 228-20
과실주,예밀와인 레드 드라이,13%,포도(캠벨얼리),"예밀와인 레드 드라이는 강원도 영월에 위치한 예밀2리영농조합법인에서 생산하는 한국와인이다. 한국인이 식용으로 애용하는 캠벨얼리 포도품종으로 만든 와인으로 두꺼운 껍질과 단단한 씨, 풍부한 과즙으로 한국와인의 맛과 풍미를 담아낸다. 진한 풍미를 띄고 특유의 산미가 조화를 이루고 있으며, 깔끔한 맛이 특징이다. 다른 지역의 캠벨얼리 품종보다 탄닌 성분이 많아 적당한 무게감도 느낄 수 있다. 2019년 대한민국주류대상 한국와인부문에서 대상을 수상하는 등 여러 와인품평회에서 우수한 평가를 받고 있다.",드라이 버전 답게 매우 담백하고 단맛이 적어 양념이 되지 않은 구은 고기류의 음식과 함께 마시기 좋다.,강원도 영월군 김삿갓면 예밀촌길 228-20
과실주,여포의 꿈 레드(SWEET),12%,국내산 포도 100%,"여포의 꿈 레드 (SWEET)는 머스켓베리에이(MBA), 켐벨얼리, 산머루의 세가지 포도품종을 각각 60%, 30%, 10%의 비율로 브랜딩하여 각각의 품종 장점을 최대한 끌어내 감미롭고 풍부한 과일 향을 가진 와인이다. 목 넘김이 좋아 와인 초보자나 술을 즐기지 않는 사람들이 마시기 좋다.",여름에 잘 익은 포도밭에 온 듯한 향기와 산미는 적지만 풍만한 단맛이 입에 오랜 여운을 남긴다. 바디감이 있지만 목넘김이 부드러워 특별한 날 케익과 잘 어울린다.,충북 영동군 양강면 유점지촌길 75
과실주,홍시와인,10.5%,"감열매(국내산), 효모, 메타중아황산칼륨, 이산화황",홍시와인은 농화학과 식품공학을 전공한 1급 주조사 면허증을 가진 38년 내공 양조 전문 기술자가 오랜 연구로 만든 와인이다. 상주의 잘 익은 감으로 홍시를 만들어 저온에서 장기간 발효시켜 독특하고 과일향이 풍부한 새콤달콤 홍시와인을 만든다.,일반적인 화이트 와인과 마찬가지로 냉장고 온도로 차게 보관하시다가 드시면 홍시와인의 풍부한 맛을 느끼실 수 있다.,경북 상주시 청리면 남상주로 1108-3
과실주,여포의 꿈 레드(Dry),12%,국내산 포도 100%,"무농약, 무제초, 무비료의 3대 원칙을 지켜나가며 만드는 와인의 깊은 맛과 풍미는 어느 유명 와인과 견주어도 손색 없을 정도로 그 완성도가 뛰어나다. 여포의 꿈 (레드 드라이)는 머스켓베리에이(MBA), 켐벨얼리, 산머루의 세가지 포도품종을 각각 70%, 20%, 10%의 비율로 브랜딩하여 각각의 품종 장점을 최대한 끌어내 복합적이고 풍부한 질감과 풍미, 부드러움과 긴 여운을 가진 남성적인 와인이다.",신선한 포도 껍질에서 나는 향이 진하게 올라오고 단맛과 신맛의 균형이 잘 갖춰져 있다. 옅은 타닌에 의한 떫은 맛이 혀를 자극시키며 목넘김이 가벼워 스테이크와 잘 어울린다.,충북 영동군 양강면 유점지촌길 75
과실주,P.S 로제 스파클링,5%,포도(캠벨얼리),"시나브로 에뚜왈 로제 스파클링 와인은 로제와인을 베이스로 탄산을 넣어 만든 와인이다. 입안에서 느껴지는 무수한 탄산 기포는 와인 이름처럼 밤하늘에 반짝이는 별들을 떠올리게 한다. 연 붉은색을 가진 로제 스파클링 와인이다. 화려한 향은 아니지만 살짝 마른나무 향이 느껴지고, 부드러운 기포와 함께 올라오는 맛은 달콤한 맛으로 시작하지만 신맛과 잘 발효된 누룩향도 느껴진다.",전체적으로 식전 주 또는 식후 주가 맞는 와인으로 스위트한 맛이 주축을 이룬 만큼 샐러드와 같은 가벼운 요리가 어울린다.,충청북도 영동군 심천면 약목2길 23
과실주,시나브로 나르샤 로제와인,10%,포도(캠벨얼리),"시나브로 로제와인은 로제와인을 한국인이 식용으로 가장 선호하는 포도 품종인 캠벨얼리를 사용하여 만든 한국와인이다. 캠벨얼리로 양조하여 특유하고 풍부한 과일향과 부드러움을 느낄 수 있다. 한국와인대상 골드를 수상하며 그 맛과 품질을 인정 받았다. 잔잔한 포돗빛을 띈 로제 와인으로 우리가 자주 접하는 캠벨얼리의 풍부하고 상큼한 향으로 시작을 하며, 입안에 머금는 순간 부드러운 단맛이 기억에 많이 남는다.","전체적으로 매운맛, 쓴맛, 그리고 타닌감은 없지만, 식전 주에는 식욕을 돋우는 와인으로, 식후에는 입속에 좋은 향기를 느끼게 하는 와인으로는 적합한 와인으로 볼 수 있다. 산미가 적은 부드러운 좋은 와인인 만큼 드레싱을 뿌린 샐러드와도 잘 어울리며, 새우튀김 등과 함께 즐겨도 좋다.",충청북도 영동군 심천면 약목2길 23
