술 종류,술 이름,술 도수,술 재료,술 소개,술과 같이 먹는 음식,술 생산 지역
술 종류,술 이름,술 도수,술 재료,술 소개,술과 같이 먹는 음식,술 생산 지역
리큐르/기타주류,필,25%,"고구마증류원액(고구마여주산100%),정제수",여주산 고구마를 하나하나 손질하여 발효시킨다. 발효가 끝나면 술지게미를 거르고 다시 동증류기를 이용하여 상압식증류로 고구마증류원액을 내린다. 이렇게 얻어진 고구마증류원액은 오랜기간의 숙성을 거쳐 마침내 고구마증류주[필]이 된다.,"맑은 탕요리류와 간이 약한 육류, 해산물, 향과 맛이 약한 모든 음식과 잘 어울리는 술이다.","경기도 여주시 대신면 대신1로 120, 나호"
리큐르/기타주류,우도 땅콩 전통주,6%,"정제수, 전분당, 백미, 국, 땅콩분, 효모, 젖산 등","연간 1,200만 명 이상의 관광객이 드나드는 제주도에 가면 빼놓을 수 없는 관광지인 우도, 우도는 섬이지만 땅이 비옥하여 어업보다는 농업이 발달한 섬입니다. 여기에서 재배하는 땅콩은 작고 고소하기로 소문 나 있는데 이 땅콩을 원료로 고소한 맛과 향과 맛을 그대로 느껴볼 수 있는 술이 있습니다. 청주에서 나오는 조은술 세종의 우도 땅콩 전통주를 소개합니다.","방앗간에서 깨소금을 볶았을 때 나는 고소한 향기를 가지고 있으며, 산미가 적고 단맛이 강하지만 목넘김은 매우 깔끔합니다. 입 안에 기름진 맛이 특징이다. 안주 없이 들이키기 좋은 술입니다.",충북 청주시 청원구 사천로 18길 5-2
리큐르/기타주류,오목대,5%,"보리(국내산), 맥아(국내산), 말토텍스트린, 호프펠렛, 효모, 정제효소제, 정제수","""오목대""는 검은 빛이 감돌아 전주 한옥마을의 기와지붕을 떠올리게 하는 술입니다. 구운 맥아를 사용하여 초콜릿 또는 커피와 같은 구수하고 달콤한 향과 여운이 매력적인 제품입니다. 제조사 전주술로시티는 3013년 설립 때부터 국산 보리를 원료로 사용하여 제품을 생산하였으며 2018년부터는 전북의 무농약 보리를 사용하여 보다 자연친화적이고 맛 있는 술을 생산하고 있습니다.",구워진 곡물 맛을 그대로 느낄 수 있는 발포주. 진한 에스프레소와 같은 향도 있습니다. 기존의 흑맥주와 다른 점은 마지막에서 느껴지는 맛에 지극히 매끈한 부드러움을 가지고 있다는 것. 향은 진하지만 식감은 부드러운 독특한 맛이 특징입니다. 생맥주 대신 즐길 수 있는 술로 맥주와 어울리는 기름진 음식에 잘 맞습니다.,전북 전주시 완산구 동문길99
리큐르/기타주류,어우야,16%,"야관문(제주산), 정제수, 포도당, 효모","""어우야""는 제주바다의 해풍을 맞고 자란 야관문(비수리)을 재료로 3대째 내려오는 전통제조방식으로 45일간의 시간 동안 정성으로 만든 100% 발효주입니다. 풀잎향, 배향, 계피 향이 배어 나오고 달콤하면서 가벼운 맛을 냅니다. 알코올 맛이 덜하고 끝 맛은 와인처럼 약간의 탄닌감을 남깁니다. 얼음과 토닉을 첨가해서 칵테일로 마셔도 좋습니다.",&quot;어우야&quot; 네이밍의 느낌과 같이 야관문을 넣어 빚은 발효주입니다. 야관문의 독특한 맛이나 향 보다도 야관문이 가지고 있는 약재의 효능을 잘 살린 술이라 할 수 있습니다. 미색을 가지고 있으며 입 안에 들어가면 약재 맛이 가득하지만 느낌이 매우 산뜻합니다. 저녁 식사와 항상 함께하기 좋은 술입니다.,제주특별자치도 제주시 한경면 고산로 2길 22-13
리큐르/기타주류,설궁,30%,"자연산 송이버섯, 산양산삼, 토종벌꿀","제조사 솔래원의 설궁은 기타주류로 분류되며 강원도 자연산 송이버섯, 자연산 토종벌꿀, 산양산삼 등 천연 원재료를 침출, 숙성시켜서 프랑스산 브랜디, 브랙커런트를 함께 주정에 혼합하여 만든 위스키입니다. 평창 물갈참나무를 팰릿 형태로 만들어 술에 넣은 후 우려내는 방식으로 제조해 전통 방식의 위스키와는 또다른 맛과 향을 자아냅니다.",은은하게 버섯향과 삼향이 올라오고 술을 입에 넣으면 알코올도수에 비해 도수가 낮아 보일 정도로 부드럽습니다. 인위적인 맛과 향은 있으나 거부감이 없고 누구나 편하게 즐길 수 있는 술입니다. 조개구이와 잘 어울립니다.,강원도 양구군 방산면 칠전길 12-7
리큐르/기타주류,서울의 밤,25%,"매실증류주원액, 벌꿀, 포도당, 노간주나무열매, 정제수","천매, 매실원주, 원매 프리미엄, 원매 등 매실주를 전문으로 생산하고 있는 ""더한주류""에서 2018년 새롭게 출시한 황매실을 원료로 증류주입니다. 국내의 다른 매실주는 5~6월경 수확되는 청매를 이용하는 반면, 매실원주는 보다 완숙한 상태에서 7월경 수확되는 황매를 이용합니다. 황매는 청매에 비해 향미가 뛰어나지만 고가인 단점이 있으나 최상의 원료로 최상의 제품을 만든다는 제품 철학으로 황매를 이용합니다. ""서울의 밤""은 스트레이트로 맛을 느끼고, 언더락을 풍부한 향을 느끼고, 칵테일로 완벽한 조화를 경험할 수 있는 새로운 차원의 매실 증류주입니다.","홍어삼합, 해산물찜 등 생선요리",서울특별시 은평구 증산로7길 28-13
리큐르/기타주류,산내울 사과애주,16%,"사과, 설탕, 주정, 정제수, 과당",거창 사과 원예 농협에서 생산하는 ‘산내울 사과애주’는 해발 600m 이상에서 청정 지역에서 재배된 사과를 엄격한 생산과정과 품질관리를 거쳐 저온발효하여 만든 술입니다. 맑고 우아한 색과 상큼하고 달콤한 향이 혀끝을 간질이고 사과의 청량함이 입 안 가득 퍼지는 제품입니다.,여름에 얼음과 탄산수를 넣고 마시면 더할 나위 없이 시원한 술입니다.,경남 거창군 거창읍 거함대로 3452-41
리큐르/기타주류,산내울 복분자주,16%,"복분자, 설탕, 주정, 정제수, 과당","거창 사과 원예 농협에서 생산하는 ‘산내울 복분자주’는 해발 600m 이상에서 자란 청정 복분자를 원료로 한 리큐르주입니다. 복분자의 붉은 빛깔을 그대로 담고 있으며, 향과 맛이 잘 어우러져 거창군을 대표하는 특산물로 자리하고 있습니다. 엄격한 생산과정과 품질을 관리하며 저온 발효탱크에서 발효하여 복분자의 효능뿐 아니라 특유의 아름다운 색과 향을 구현하고 있습니다.",여름에 얼음과 탄산수를 넣고 마시면 더할 나위 없이 시원한 술입니다.,경남 거창군 거창읍 거함대로 3452-41
리큐르/기타주류,바나나 주,4%,"쌀, 국, 정제수, 바나나 농축액, 조제종국, 효모, 물엿","달콤하면서도 향긋한 바나나 냄새 때문에, 바나나 우유를 마시는 듯한 느낌을 받는 조은술 세종의 바나나 주. 국내산 쌀로 빚어 4%의 낮은 도수를 가지고 있어 젊은 층들이 특히 좋아할 만한 술이고, 산미는 적고 단맛이 강해 누구나 부담 없이 즐길 수 있는 막걸리다.",산미가 적고 단맛이 강하고 마치 바나나 음료를 마시는 듯하다. 남녀노소 언제든 편하게 마실 수 있는 막걸리다. 열대과일과 잘 어울린다.,충북 청주시 청원구 사천로 18길 5-2
