술 종류,술 이름,술 도수,술 재료,술 소개,술과 같이 먹는 음식
"약주, 청주",감싸주는날,16%,"찹쌀(국내산),맵쌀(국내산),국화(국산),누룩(밀:국산) 정제수,효모",직접 재배한 찹쌀과 국산 누룩을 이용하여 100일의 숙성을 거쳐 깊은 맛과 풍미를 자랑합니다. 달달하게 감기는 맛입니다.,
"약주, 청주",천상문,18%,"찹쌀37.37%(국내산),누룩14.01%(국내산),멥쌀11.21%(국내산),들국화,메주콩,생강,홍고추","엽전모양의 독특한 도자기와 끓이지 않는 삶을 상징하는 당초무늬, 깊은 바다같은 푸른색을 지닌 도자기가 특징입니다.명인의 소곡주와 조화를 이루어 많은 사랑을 받는 제품입니다.",한산 소곡주는 빛깔은 청주와 같으며 부드러우면서 감칠맛이 나는 소곡주 특유의 향이 어우러져 담백한 안주와 함께 하신다면 한산소곡주의 풍미를 더욱 느낄 수 있습니다.
"약주, 청주",화전일취18 백화,18%,"쌀,누룩,정제수,꽃22종","화전일취18 백화 제조는 일 년 내내, 꽃이 피는 사계절 동안 양조장에서 피어나는 꽃들을 따 모아 말리는 것부터 시작합니다. 다양한 꽃을 넣어 한 모금 한 모금이 꽃을 머금은 듯한 풍미를 줍니다.",
"약주, 청주",대담 15,15%,"국산 쌀, 국산 전통 누룩, 물, 대잎",막걸리 단맛을 내는 인공감미료(아스파탐) 사용하지 않습니다. 오로지 쌀의 단맛으로만 맛을 낸 대밭고을의 약주입니다.,해산물과 더욱 어울립니다.
"약주, 청주",만세 보령주,15%,"정제수,백미(국내산)12%,찹쌀(국내산)37%,누록(밀)",저온에서 충분히 발효 숙성되어 부드러운 맛과 깔끔한 청량감을 느낄 수 있는 전통주 고유의 맛과 향을 느낄 수 있습니다.,"안주로는 궁중요리,생성회,까나페,각종 해산물 요리와 찰떡 궁합처럼 잘 어울립니다. 담백한 식빵 안주도 추천드립니다."
"약주, 청주",붉은 산정호주,15%,"포천쌀45.02%,흑미찹쌀4.5%,전가네 누로룩4.5%,정제수45.9%.",흑미 찹쌀로 빚은 삼양주. 마치 가을 산정호수에 비친 붉은 단풍이 연상되는 빛과 달달한 맛에 그윽한 향이 있는 술이다.,
"약주, 청주",홍매반개주,15%,"포천쌀45.02%,국산팥4.5%,전가네 누로룩4.5%,정제수45.98%.",팥을 원료로 세 번 빚은 삼양주. 창경궁의 500년된 홍매가 반쯤 피었을 때의 빛깔을 닮았다고 이름 붙인 약주이다.,
"약주, 청주",일월삼주 이주,14.2%,"찹쌀(함안군 무농약 찹쌀),빛올효모,누룩(밀함유),정제수",일월삼주 이주는 일월삼주의 두 번째 시리즈로 일월삼주 일주142를 맑게 여과한 뒤 숙성한 술입니다. 산미를 싫어하시는 분들도 반할 만한 향긋한 산미를 지녔습니다.,해산물
"약주, 청주",농담,16%,"정제수,멥쌀(철원 오대쌀),국(쌀,밀),국화(국내산)효모(밀함유)","무겁지도 않은 바디감은 물론,탄산감이 적어 목 넘김이 부드럽습니다. 달콤하고 화사한 풍미 가득한 단맛이 알코올의 쓴맛을 잡아줍니다.","생선요리 , 초밥 , 구운치즈"
"약주, 청주",석로주,13%,"맵쌀(국산), 정제수, 석이버섯(국산), 누룩(국산)","색과 향, 맛이 조화롭게 어우러진 술입니다.전통 방식 그대로 세 번 빚는 프리미엄 삼양주입니다.","육류,해산물류와 한식, 양식"
"약주, 청주",풍정사계 하(夏),18%,"국내산(멥쌀,찹쌀,정제수,전통주-밀함유)",법주 발효 중 증류주를 첨가하여 저온 숙성한 과하주입니다.,생선회와 어울리는 술입니다.
"약주, 청주",청명주,13.8%,"찹쌀, 정제수, 한영석 누룩",새콤하게 입맛을 돋우는 산미와 깔끔함이 돋보이는 약주입니다.,"갈비찜, 삼겹살."
"약주, 청주",감자술,13%,"정제수, 쌀, 감자, 누룩, 효모, 밀곡류 함유",서주는 땅 속의 사과라고 불릴만큼 영양분이 풍부한 감자로 만든 와인과 같은 술입니다.,"감자전, 육회, 수육, 참치회."
"약주, 청주",나주배약주,15%,"쌀, 쌀가루, 나주배 착즙액, 누룩, 정제효소제, 종국, 젖산, 효모","영산강이 키워낸 영양이 풍부한 쌀과 금성산 자락 맑은 암반수로 정성스레 빚어낸 정고집만의 이유 있는 고집입니다.

2200시간의 오랜 발효 기간을 거쳐 정고집만의 노하우와 고집으로 정성 들여 만들었습니다.","대하구이,방어회,갑오징어회,생고기,육회,곱창 등등"
"약주, 청주",조선주조사,14%,"쌀, 입국, 누룩, 주정, 정제수",일주일의 발효과정과 20일간의 저온 숙성 과정을 거쳐 탄생한 조선주조사는 곡물의 잡미를 최소화하고 깨끗한 맛을 살립니다.,"숙성회,단새우 사시미 ,문어숙회,오징어회,해산물 등등 .."
"약주, 청주",아리아리,12%,"쌀, 국, 효모, 정제수","아리아리는 쌀과 누룩으로 빚은 아리까리한 술입니다.

부드럽고 가벼운 바디감에 풍부한 과실향이 더해져 산뜻한 맛과 향을 지녔습니다.",회 생선류.
"약주, 청주",고흥유자 08,8%,"쌀(고흥산), 입국(쌀), 누룩, 정제효소, 효모, 정제수, 유자(고흥산), 원당","고흥 유자주, 일명 고유 08은 100% 고흥 유자와 고흥 쌀로 술을 빚어 곡물의 고소함과 유자의 새콤달콤한 향을 느낄 수 있습니다.",
"약주, 청주",달 15%,15%,"쌀(화성시), 누룩(국내산), 정제수","은은한 단맛과 산미가 조화로우며,풍부한 꽃향기와 깔끔한 피니쉬가 특징입니다.",
"약주, 청주",만다린약주,12%,"정제수, 멥쌀(국내산), 감귤농축액, 진피(감귤껍질), 귤꽃, 한라봉과피, 당유자 과피, 계피, 밀누룩(우리밀)","인공 감미료 없이 국내산 쌀과 제주 시트러스로 빚은 지역특산주입니다.

제주섬이 천천히 걸러낸 맑은 화산암반수와 국내산 햅쌀로 두 번 술은 빚고 제주도 유기농 한라봉, 귤, 당유자 등을 브랜딩해 향을 입혔답니다.",해산물요리
"약주, 청주",단상지교,16%,"쌀, 찹쌀, 누룩, 종국, 정제수",인공 감미료를 넣지 않아 삼양주 특유의 풍부한 맛과 향이 특징입니다.,"생선회,파전,빈대떡,육회,도토리묵무침"
"약주, 청주",선셋 체리스파클링,5%,"정제수, 멤쌀, 체리, 누룩","농촌진흥청에서 개발한 분질미로 술을 빚어 100일간

저온숙성을 거쳤고, 국내산 체리가 들어갔기 때문에

고소함과 함께 강한 체리 향을 살렸답니다.",팝콘이나 스낵류
"약주, 청주",대잎술,12%,"정제수, 쌀(국내산), 누룩(국내산), 죽력, 대입, 효모, 구기자, 진피, 갈근, 오미자, 육계, 솔잎, 올리고당","추성고을 대잎술은 7여가지의 한약재가 들어가 저온숙서을 하여 부드러움과 함께 각종 한약재들이 조화롭게 맛을 내며

기분을 좋게 하는 옅은 대나무향이 올라오고 맑은 단맛과 산미등 오미의 균형이 잘 갖춰져 있는 약주 입니다.","치즈,과일,케이크,돼지고기 ."
"약주, 청주",천년담주,15%,"정제수,백미(국내산,유기농쌀),누룩,벌꿀(국내산),효모",친환경쌀로 장기저온발효과정을 거쳐 국내산 천연벌꿀 원료로 빚었습니다.인공감미료가 첨가되지않아 깔끔하고 감칠맛이 뛰어납니다.,전
"약주, 청주",주연향 레드,15%,"강화섬쌀(강화쌀,강화찹쌀, 강화찰흑미), 정제수, 누룩(국내산, 밀함유)","가벼운 산미와 깊고 풍부한 맛, 과실향, 꽃향 등이 부드럽고 신선한 향과 맛.","참치회, 훈연 삼치회, 방어회"
"약주, 청주",하늘,18%,"국내산 찹쌀, 누룩, 암반수","당화된 쌀 전분에서 나오는 자연스러운 단맛과 함께 발효 중에 생성된 여러 유기산에 의한 신맛, 각종 효소와 효모에 의한 쓴맛과 향이 어우러져 맛의 풍미가 느껴진다.","문어숙회, 민어회, 버섯전골, 회무침"
"약주, 청주",백경15 화이트,15%,"찹쌀(국내산),백경밀누룩[밀.국내산], 백경쌀누룩[멥쌀(국내산),조제종국], 정제수","순하고 실크같은 질감으로 고급스러움이 느껴지며 전체적으로 부드럽고 깔끔함. 꽃, 살구, 배, 사과, 복숭아, 오렌지와 같은 과일향이 풍부하고 누룩향이 적당하며 끝에 감칠맛이 좋음. 산미와 당도의 균형이 잘 잡혀있다.","족발, 소불고기, 수육, 피자, 샐러드"
