술 종류,술 이름,술 도수,술 재료,술 소개,술과 같이 먹는 음식
탁주(고도),담향 대대포 블루,6%,"백미(국내산, 무기농 무농약), 벌꿀(국내산), 정제수",전남 담양을 대표하는 지역 막걸리로서 담양군에서 재배한 친환경 유기농쌀과 토종벌꿀을 사용하여 장기저온발효공법으로 제조한 프리미엄 막걸리다. 인공감미료를 첨가하지 않고 국내산 벌꿀과 천연감미료로 넣어 은은한 막걸리의 단맛을 자아내는 술이다. 연한 볏짚단 빛깔의 가볍고 부드러운 막걸리이다. 꿀을 첨가하여 단맛을 보충하고 향미도 살렸다. 과하지 않은 탄산과 산미가 품위 있고 나긋한 맛을 선사한다,"모듬전, 보쌈, 수육, 나물류 등과 잘 어울린다."
탁주(고도),스톰탁주,6%,"국내산 쌀 (밀양),정제수,쌀,입국,스테비올 배당체","세계적인 인기 캐릭터 와 오리지널 스톰트루퍼 와 90년 전통의 밀양 클래식 술도가 가 협업하여 제작된 글로벌 막걸리 프로젝트입니다.
기분 좋게 달달하고 탄산이 강하지 않아 누구나 즐길 수 있는 깔끔하고 상쾌한 맛입니다.",
탁주(고도),보스토끼,9%,"정제수,쌀(국내산),국(말함유),효모",보스토끼 막걸리는 단맛보다는 경쾌한 산미와 담백한 맛 거기에 적당한 탄산이 어우러진 Alc.9%무감미료 드라이 생 막걸리입니다.,"간이 세지 않은 음식과 페이링 시 보스토끼 막걸리 본연의 맛에 집중할 수 있습니다.
기름지거나 자극적인 음식과 페어링하면 입안을 개운하게 정리해줘요!"
탁주(고도),너디호프,5%,"정제수,찹쌀(국산),누룩,효모,정제효소,바질","너디호프는 처음에는 바질의 휘몰아치는 향,그리고 보태니컬한 맛, 그 되를 따르는 마지막 산미의 깔끔한 피니쉬가 조화를 이룹니다.","파스타,피자,감바스,토마토 카프리제,모든 치즈, 바게트 샤워도우"
탁주(고도),생딸기 막걸리,6%,"햅쌀(국내산 신동진품종),쌀,쌀가루,국내산 딸기,효모,효소,정제수,프락토올리고당",단맛을 내기 위하여 아스파탐 등 화학첨가물을 일체 넣지 않습니다. 햅쌀과 생딸기에서 우러난 천연의 건강한 단맛을 만끽합니다.,"1 매콤한 안주와 한께!
2 각종 전과 즐겨 보세요!
3 더운날엔 상큼하고 달달한 슬러쉬로 드실 수 있어요!"
탁주(고도),낙안읍성,12%,"찹쌀 36%(국내산), 맵쌀 7%(국내산), 누룩2%(국내산), 천연암반수 55%,","낙안뜰에서 친환경 지역 농산물로 재배한 우리 찹쌀, 다양한 발효균이 살아있는 전통누룩 그리고 천연암반수만을 사용하여 진한 감칠 맛을 느낄 수 있습니다.",
탁주(고도),에피소드,9%,"쌀(평택산100%), 사과, 꿀, 유자, 정제수, 누룩, 정백당, 로즈마리","투명한 분홍 빛 하늘,끝 없이 이어진 풍요로운 들판,코끝을 자극하는 상큼한 바람이고 미지의 세계로 들어선 호랑이의 첫 번째 에피소드입니다.

은은한 꽃 향기, 다양한 부재료가 선사하는 오묘한 맛의 컴비네이션,깔끔하고 기분 좋은 피니쉬입니다.",
탁주(고도),짝꿍막걸리,8%,"정제수 ,쌀(국내산),국,효모,밀합유",기존 막걸리에서 즐길 수 없었던 다양하고 복잡한 맛이 매력적인 술입니다.,"짭쪼롬한 안주, 나쵸"
탁주(고도),옛날 생동동주,6%,"물, 쌀(국내산), 쌀가루(국내산), 효모, 조제종국, 정제효소제, 젖산, 아스파탐(감미료,페닐알라닌 함유), 아세셀팜칼륨(감미료)",깨지지 않고 동동 떠있는 쌀알들이 강하지 않은 자연 탄산과 함께 부드럽게 입 안을 넘어갑니다.,"부침개, 전,달콤한 떡볶이, 삼계탕, 양녑치킨, 대하구이, 감자튀김 등"
탁주(고도),딸기아랑주,6%,"정제수,쌀(국내산),돌배(국내산),딸기(국내산),조제종국,누룩(밀),입국(국내산),스쿠랄로스(감미료)",아랑주는 향긋한 딸기향과 딸기 본연의 달콤한 그 맛이 좋아 남녀 노소 누구나 부담없이 마시기 좋습니다.,"매콤한 안주 ,단짠단짠 치즈 ,상큼달달 슬러쉬"
